TOTAL MSG COUNT,MSG 21 COUNT,THIS CSV MSG COUNT,Synch ,Message ID ,Byte Count ,Checksum ,Time Stamp (seconds),GPS Week ,GPS Seconds ,GPS Sec. (Fraction) (seconds),Spare ,FOM ,TFOM ,Mode ,Latitude (deg),Longitude (deg),MSL Altitude (meters),Absolute Altitude (meters),Velocity N (meters/sec),   Velocity E (meters/sec),Velocity D (meters/sec),Acceleration N (meters/sec2),Acceleration E (meters/sec2),Acceleration D (meters/sec2),Roll (radians),Pitch (radians),Heading (radians),Roll Rate (radians/sec),Pitch Rate (radians/sec),Heading Rate (radians/sec),
90,26,26,'0x81FF',21,84,'0xEC49',         22.09887695,1513,22,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,27,27,'0x81FF',21,84,'0xDC48',         23.09887695,1513,23,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
98,28,28,'0x81FF',21,84,'0xCC47',         24.09887695,1513,24,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102,29,29,'0x81FF',21,84,'0xBC46',         25.09887695,1513,25,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
106,30,30,'0x81FF',21,84,'0xAC45',         26.09887695,1513,26,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
110,31,31,'0x81FF',21,84,'0x9C44',         27.09887695,1513,27,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
114,32,32,'0x81FF',21,84,'0x8C43',         28.09887695,1513,28,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118,33,33,'0x81FF',21,84,'0x7C42',         29.09887695,1513,29,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122,34,34,'0x81FF',21,84,'0x6C41',         30.09887695,1513,30,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
126,35,35,'0x81FF',21,84,'0x3C5F',         1.098876953,1513,1,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
129,36,36,'0x81FF',21,84,'0x2C5E',         2.098876953,1513,2,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
132,37,37,'0x81FF',21,84,'0x1C5D',         3.098876953,1513,3,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
135,38,38,'0x81FF',21,84,'0xC5C',         4.098876953,1513,4,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
138,39,39,'0x81FF',21,84,'0xFC5B',         5.098876953,1513,5,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141,40,40,'0x81FF',21,84,'0xEC5A',         6.098876953,1513,6,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
144,41,41,'0x81FF',21,84,'0xDC59',         7.098876953,1513,7,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
147,42,42,'0x81FF',21,84,'0xCC58',         8.098876953,1513,8,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
150,43,43,'0x81FF',21,84,'0xBC57',         9.098876953,1513,9,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
153,44,44,'0x81FF',21,84,'0xAC56',         10.09887695,1513,10,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
156,45,45,'0x81FF',21,84,'0x9C55',         11.09887695,1513,11,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
159,46,46,'0x81FF',21,84,'0x8C54',         12.09887695,1513,12,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
162,47,47,'0x81FF',21,84,'0x7C53',         13.09887695,1513,13,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
165,48,48,'0x81FF',21,84,'0x6C52',         14.09887695,1513,14,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
168,49,49,'0x81FF',21,84,'0x5C51',         15.09887695,1513,15,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
171,50,50,'0x81FF',21,84,'0x4C4F',         16.09887695,1513,16,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
175,51,51,'0x81FF',21,84,'0x3C4E',         17.09887695,1513,17,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
179,52,52,'0x81FF',21,84,'0x2C4D',         18.09887695,1513,18,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
183,53,53,'0x81FF',21,84,'0x1C4C',         19.09887695,1513,19,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
187,54,54,'0x81FF',21,84,'0xC4B',         20.09887695,1513,20,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
