TOTAL MSG COUNT,MSG 23 COUNT,THIS CSV MSG COUNT,Synch ,Message ID ,Byte Count ,Checksum ,Time Stamp (seconds),GPS Week ,GPS Seconds ,GPS Sec. (Fraction) (seconds),PLA Word #1 ,PLA Word #2  ,PLA Word #3  ,PLA Word #4  ,PLA Word #5  ,PLA Word #6  ,PLA Word #7  ,PLA Word #8  ,PLA Word #9  ,PLA Word #10  ,PLT Word #1 ,PLT Word #2  ,PLT Word #3  ,PLT Word #4  ,PLT Word #5  ,PLT Word #6  ,PLT Word #7  ,PLT Word #8  ,PLT Word #9  ,PLT Word #10  ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,Word Time Week ,Word Time ZCount ,Word Time Seconds ,Word Time Millisecond ,TX LVR E ,TX LVR N ,TX LVR U ,RX LVR E ,RX LVR N ,RX LVR U ,PLT Word Index ,PLA Word Index ,Frame Start ,PLT Offset Index ,PRN ,Type ,Waveform ,Attenuation (db),Frequency ,PLA Code Offset (ms),Delta_Corr #1 ,Delta_Corr #2  ,Delta_Corr #3  ,Delta_V_M0 #1 ,Delta_V_M0 #2  ,Delta_V_M0 #3  ,Delta_V_M1 #1 ,Delta_V_M1 #2  ,Delta_V_M1 #3  ,Delta_V_M2 #1 ,Delta_V_M2 #2  ,Delta_V_M2 #3  ,Delta_V_M3 #1 ,Delta_V_M3 #2  ,Delta_V_M3 #3  ,Delta_V_M4 #1 ,Delta_V_M4 #2  ,Delta_V_M4 #3  ,Lat Obs ,Lon Obs ,Alt Obs ,
453,11,11,'0x81FF',23,296,'0xE288',                   0,1899,54444,      0.001999999862,578833711,0,0,0,0,0,0,0,0,0,578813983,0,0,0,0,0,0,0,0,0,1899,36296,54444,0,1899,36296,54444,600,1899,36296,54444,1200,1899,36297,54444,300,1899,36297,54444,900,1899,36298,54444,0,1899,36298,54444,600,1899,36298,54444,1200,1899,36299,54444,300,1899,36299,54444,900,0,0,0,0,0,0,0,0,54444,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
458,12,12,'0x81FF',23,296,'0xDD13',                   0,1899,54444,               0.602,578833711,999397839,0,0,0,0,0,0,0,0,578813983,1024180181,0,0,0,0,0,0,0,0,1899,36296,54444,0,1899,36296,54444,600,1899,36296,54444,1200,1899,36297,54444,300,1899,36297,54444,900,1899,36298,54444,0,1899,36298,54444,600,1899,36298,54444,1200,1899,36299,54444,300,1899,36299,54444,900,0,0,0,0,0,0,1,1,54444,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
462,13,13,'0x81FF',23,296,'0x39FE',                   0,1899,54445,        0.2019999998,578833711,999397839,1073741823,0,0,0,0,0,0,0,578813983,1024180181,805306338,0,0,0,0,0,0,0,1899,36296,54444,0,1899,36296,54444,600,1899,36296,54444,1200,1899,36297,54444,300,1899,36297,54444,900,1899,36298,54444,0,1899,36298,54444,600,1899,36298,54444,1200,1899,36299,54444,300,1899,36299,54444,900,0,0,0,0,0,0,2,2,54444,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
464,14,14,'0x81FF',23,296,'0xC6A2',                   0,1899,54445,        0.8019999999,578833711,999397839,1073741823,1073741823,0,0,0,0,0,0,578813983,1024180181,805306338,41,0,0,0,0,0,0,1899,36296,54444,0,1899,36296,54444,600,1899,36296,54444,1200,1899,36297,54444,300,1899,36297,54444,900,1899,36298,54444,0,1899,36298,54444,600,1899,36298,54444,1200,1899,36299,54444,300,1899,36299,54444,900,0,0,0,0,0,0,3,3,54444,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
468,15,15,'0x81FF',23,296,'0x1399',                   0,1899,54446,        0.4019999998,578833711,999397839,1073741823,1073741823,1073741823,0,0,0,0,0,578813983,1024180181,805306338,41,1073741782,0,0,0,0,0,1899,36296,54444,0,1899,36296,54444,600,1899,36296,54444,1200,1899,36297,54444,300,1899,36297,54444,900,1899,36298,54444,0,1899,36298,54444,600,1899,36298,54444,1200,1899,36299,54444,300,1899,36299,54444,900,0,0,0,0,0,0,4,4,54444,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
470,16,16,'0x81FF',23,296,'0xA03B',                   0,1899,54447,      0.001999999862,578833711,999397839,1073741823,1073741823,1073741823,1073741823,0,0,0,0,578813983,1024180181,805306338,41,1073741782,41,0,0,0,0,1899,36296,54444,0,1899,36296,54444,600,1899,36296,54444,1200,1899,36297,54444,300,1899,36297,54444,900,1899,36298,54444,0,1899,36298,54444,600,1899,36298,54444,1200,1899,36299,54444,300,1899,36299,54444,900,0,0,0,0,0,0,5,5,54444,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
475,17,17,'0x81FF',23,296,'0xED33',                   0,1899,54447,               0.602,578833711,999397839,1073741823,1073741823,1073741823,1073741823,1073741823,0,0,0,578813983,1024180181,805306338,41,1073741782,41,1073741782,0,0,0,1899,36296,54444,0,1899,36296,54444,600,1899,36296,54444,1200,1899,36297,54444,300,1899,36297,54444,900,1899,36298,54444,0,1899,36298,54444,600,1899,36298,54444,1200,1899,36299,54444,300,1899,36299,54444,900,0,0,0,0,0,0,6,6,54444,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
479,18,18,'0x81FF',23,296,'0x79D6',                   0,1899,54448,        0.2019999998,578833711,999397839,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823,0,0,578813983,1024180181,805306338,41,1073741782,41,1073741782,41,0,0,1899,36296,54444,0,1899,36296,54444,600,1899,36296,54444,1200,1899,36297,54444,300,1899,36297,54444,900,1899,36298,54444,0,1899,36298,54444,600,1899,36298,54444,1200,1899,36299,54444,300,1899,36299,54444,900,0,0,0,0,0,0,7,7,54444,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
481,19,19,'0x81FF',23,296,'0xC6CE',                   0,1899,54448,        0.8019999999,578833711,999397839,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823,0,578813983,1024180181,805306338,41,1073741782,41,1073741782,41,1073741782,0,1899,36296,54444,0,1899,36296,54444,600,1899,36296,54444,1200,1899,36297,54444,300,1899,36297,54444,900,1899,36298,54444,0,1899,36298,54444,600,1899,36298,54444,1200,1899,36299,54444,300,1899,36299,54444,900,0,0,0,0,0,0,8,8,54444,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
485,20,20,'0x81FF',23,296,'0x5149',                   0,1899,54449,        0.4019999998,578833711,999397839,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823,1073741823,1073741740,578813983,1024180181,805306338,41,1073741782,41,1073741782,41,1073741782,32768176,1899,36296,54444,0,1899,36296,54444,600,1899,36296,54444,1200,1899,36297,54444,300,1899,36297,54444,900,1899,36298,54444,0,1899,36298,54444,600,1899,36298,54444,1200,1899,36299,54444,300,1899,36299,54444,900,0,0,0,0,0,0,9,9,54444,2,1,2,3,0,0,6,0,'NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
