TOTAL MSG COUNT,MSG 22 COUNT,THIS CSV MSG COUNT,Synch ,Message ID ,Byte Count ,Checksum ,Time Stamp (seconds),GPS Week ,GPS Seconds ,GPS Sec. (Fraction) (seconds),Spare ,FOM ,TFOM ,Overall Mode ,RCVR Power Mode ,RCVR Mode ,SparePad ,CAGE Code (6 ascii characters),NAVIO Version ,Trk Version ,Mcp Version  ,Mcp Boot Version  ,SW Version ,HW Version ,Serial Number ,HW Version 2 ,Mcp CRC ,Mcp Boot CRC ,NAVIO CRC ,Checkword1 ,Trk CRC ,TMC Version ,NAVIO PLB Clock ,NAVIO CPU Clock ,NAVIO Thruput (percent),Trk PLB Clock ,Trk CPU Clock ,Trk Thruput (percent),Mcp PLB Clock ,Mcp CPU Clock ,Mcp Thruput (percent),Spare ,Fill Port ,SW Lock Status ,LADGSP Enabled ,LADGSP Applied ,WAGE Enabled ,WAGE Applied ,BFEA Enabled ,BFEA Applied ,EAS Enabled ,Total Loss Power ,Temperature ,Program ID :#1 ,Program ID :#2  ,Program ID :#3  ,Program ID :#4  ,Program ID :#5  ,Program ID :#6  ,Program ID :#7  ,Program ID :#8  ,Program ID :#9  ,Program ID :#10  ,Program ID :#11  ,Program ID :#12  ,Program ID :#13  ,Program ID :#14  ,Program ID :#15  ,Program ID :#16  ,Program ID :#17  ,Program ID :#18  ,Program ID :#19  ,Program ID :#20  ,Program ID :#21  ,Program ID :#22  ,Program ID :#23  ,Program ID :#24  ,MCP Exception Failure ,MCP CPU Failure ,MCP EDRAM Failure ,MCP CLB Failure ,MCP TSF Data Failure ,MCP DS 101/102 Failure ,MCP EEPROM Failure ,TRK Viterbi Failure ,TRK Exceptions Failure ,TRK CPU Failure ,TRK EDRAM Failure ,TRK AUX UART Failure ,TRK DNLD UART Failure ,TRK SP Failure ,TRK FAC Failure ,RFDC Failure ,TRK TLB Failure ,TMC Failure ,NAV Exceptions Failure ,NAV CPU Failure ,NAV FPU Failure ,NAV EDRAM Failure ,NAV Flash Failure ,NAV COM0 UART Failure ,NAV COM1 UART Failure ,NAV COM2 UART Failure ,NAV COM3 UART Failure ,NAV COM4 UART Failure ,Melody Logic Failure ,NAV TLB Failure ,MCP TLB Failure ,RCVR BIT Summary ,TXC Mode ,TXC Power Mode ,CAGE Code (6 ascii characters),TXC Version ,Spare Version ,GEN Version  ,GEN Boot Version  ,SW Version ,HW Version ,Serial Number ,Spare ,HW Version 2 ,TXC PLB Clock ,TXC CPU Clock ,TXC Thruput (percent),Spare PLB Clock ,Spare CPU Clock ,Spare Thruput (percent),GEN PLB Clock ,GEN CPU Clock ,GEN Thruput (percent),EAS Enabled ,Total Loss Power ,Spare ,Temperature ,GEN Exception Failure ,GEN CPU Failure ,GEN EDRAM Failure ,GEN CLB Failure ,GEN TSF Data Failure ,GEN DS 101/102 Failure ,MCP EEPROM Failure ,Spare ,TMC Failure ,TXC Exceptions Failure ,TXC CPU Failure ,TXC FPU Failure ,TXC EDRAM Failure ,TXC Flash Failure ,TXC COM0 UART Failure ,TXC COM1 UART Failure ,TXC COM2 UART Failure ,TXC COM3 UART Failure ,TXC COM4 UART Failure ,Melody Logic Failure ,TXC TLB Failure ,GEN TLB Failure ,TX BIT Summary ,Waveform ,PRN ,Type ,PLT Code Offset ,Frequency ,Attenuation ,
34,11,11,'0x81FF',22,272,'0x935',         5.098876953,1513,5,       0.09899999993,2,0,0,0,0,0,0,'','0x0','0x0','0x0','0x0','','','',0,'0x0','0x0','0x0','0x0','0x0','0x0',0,0,                   0,0,0,                   0,0,0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x11022700','0x11030000','                ','                ','        ',0,2,173,11,          5.59765625,0,0,                   0,3,3,           31.859375,0,0,1,0,1,0,0,0,1,1,0,'0x80',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,769,
37,12,12,'0x81FF',22,272,'0xF91E',         6.098876953,1513,6,       0.09899999993,2,0,0,0,0,0,0,'','0x0','0x0','0x0','0x0','','','',0,'0x0','0x0','0x0','0x0','0x0','0x0',0,0,                   0,0,0,                   0,0,0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x11022700','0x11030000','                ','                ','        ',0,2,173,11,          5.69921875,0,0,                   0,3,3,            31.84375,0,0,1,0,1,0,0,0,1,1,0,'0x80',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,769,
40,13,13,'0x81FF',22,272,'0xE937',         7.098876953,1513,7,       0.09899999993,2,0,0,0,0,0,0,'','0x0','0x0','0x0','0x0','','','',0,'0x0','0x0','0x0','0x0','0x0','0x0',0,0,                   0,0,0,                   0,0,0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x11022700','0x11030000','                ','                ','        ',0,2,173,11,          5.59765625,0,0,                   0,3,3,            31.84375,0,0,1,0,1,0,0,0,1,1,0,'0x80',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,769,
43,14,14,'0x81FF',22,272,'0xD936',         8.098876953,1513,8,       0.09899999993,2,0,0,0,0,0,0,'','0x0','0x0','0x0','0x0','','','',0,'0x0','0x0','0x0','0x0','0x0','0x0',0,0,                   0,0,0,                   0,0,0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x11022700','0x11030000','                ','                ','        ',0,2,173,11,          5.59765625,0,0,                   0,3,3,            31.84375,0,0,1,0,1,0,0,0,1,1,0,'0x80',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,769,
46,15,15,'0x81FF',22,272,'0xC935',         9.098876953,1513,9,       0.09899999993,2,0,0,0,0,0,0,'','0x0','0x0','0x0','0x0','','','',0,'0x0','0x0','0x0','0x0','0x0','0x0',0,0,                   0,0,0,                   0,0,0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x11022700','0x11030000','                ','                ','        ',0,2,173,11,          5.59765625,0,0,                   0,3,3,            31.84375,0,0,1,0,1,0,0,0,1,1,0,'0x80',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,769,
49,16,16,'0x81FF',22,272,'0xB934',         10.09887695,1513,10,       0.09899999993,2,0,0,0,0,0,0,'','0x0','0x0','0x0','0x0','','','',0,'0x0','0x0','0x0','0x0','0x0','0x0',0,0,                   0,0,0,                   0,0,0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x11022700','0x11030000','                ','                ','        ',0,2,173,11,          5.59765625,0,0,                   0,3,3,            31.84375,0,0,1,0,1,0,0,0,1,1,0,'0x80',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,769,
52,17,17,'0x81FF',22,272,'0xA933',         11.09887695,1513,11,       0.09899999993,2,0,0,0,0,0,0,'','0x0','0x0','0x0','0x0','','','',0,'0x0','0x0','0x0','0x0','0x0','0x0',0,0,                   0,0,0,                   0,0,0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x11022700','0x11030000','                ','                ','        ',0,2,173,11,          5.59765625,0,0,                   0,3,3,            31.84375,0,0,1,0,1,0,0,0,1,1,0,'0x80',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,769,
55,18,18,'0x81FF',22,272,'0x9936',         12.09887695,1513,12,       0.09899999993,2,0,0,0,0,0,0,'','0x0','0x0','0x0','0x0','','','',0,'0x0','0x0','0x0','0x0','0x0','0x0',0,0,                   0,0,0,                   0,0,0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x11022700','0x11030000','                ','                ','        ',0,2,173,11,          5.59765625,0,0,                   0,3,3,           31.828125,0,0,1,0,1,0,0,0,1,1,0,'0x80',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,769,
58,19,19,'0x81FF',22,272,'0x8939',         13.09887695,1513,13,       0.09899999993,2,0,0,0,0,0,0,'','0x0','0x0','0x0','0x0','','','',0,'0x0','0x0','0x0','0x0','0x0','0x0',0,0,                   0,0,0,                   0,0,0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x11022700','0x11030000','                ','                ','        ',0,2,173,11,          5.59765625,0,0,                   0,3,3,             31.8125,0,0,1,0,1,0,0,0,1,1,0,'0x80',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,769,
61,20,20,'0x81FF',22,272,'0x7938',         14.09887695,1513,14,       0.09899999993,2,0,0,0,0,0,0,'','0x0','0x0','0x0','0x0','','','',0,'0x0','0x0','0x0','0x0','0x0','0x0',0,0,                   0,0,0,                   0,0,0,                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,'      ','0x11023A00','0x0','0x11022700','0x11030000','                ','                ','        ',0,2,173,11,          5.59765625,0,0,                   0,3,3,             31.8125,0,0,1,0,1,0,0,0,1,1,0,'0x80',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,769,
