TOTAL MSG COUNT,MSG 13800 COUNT,THIS CSV MSG COUNT,Synch ,Message ID ,Data Size (16 bit words),Flag ,Checksum ,DSP Mode ,CGM Mode ,Code Selection ,Manifold conjugate ,WFS Calibration Mode ,Checksum ,
21,1,1,'0x81FF','0x35E8','0x0','0x8800','0xC019','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
22,2,2,'0x81FF','0x35E8','0x0','0x9200','0xB619','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA','NO_DATA',
