TOTAL MSG COUNT,MSG 13825 COUNT,THIS CSV MSG COUNT,Synch ,Message ID ,Data Size (16 bit words),Flag ,Checksum ,GPS Time Tag (sec),Channel Count (channel),Weight scale (channel),L1 Beam and Null Weights ID (weights),L1 Weight Real #1  ,L1 Weight Imag #1  ,L1 Weight Real #2  ,L1 Weight Imag #2  ,L1 Weight Real #3  ,L1 Weight Imag #3  ,L1 Weight Real #4  ,L1 Weight Imag #4  ,L1 Weight Real #5  ,L1 Weight Imag #5  ,L1 Weight Real #6  ,L1 Weight Imag #6  ,L1 Weight Real #7  ,L1 Weight Imag #7  ,L1 Weight Real #8  ,L1 Weight Imag #8  ,L1 Weight Real #9  ,L1 Weight Imag #9  ,L1 Weight Real #10  ,L1 Weight Imag #10  ,L1 Weight Real #11  ,L1 Weight Imag #11  ,L1 Weight Real #12  ,L1 Weight Imag #12  ,L1 Weight Real #13  ,L1 Weight Imag #13  ,L1 Weight Real #14  ,L1 Weight Imag #14  ,L1 Weight Real #15  ,L1 Weight Imag #15  ,L1 Weight Real #16  ,L1 Weight Imag #16  ,L1 Weight Real #17  ,L1 Weight Imag #17  ,L1 Weight Real #18  ,L1 Weight Imag #18  ,L1 Weight Real #19  ,L1 Weight Imag #19  ,L1 Weight Real #20  ,L1 Weight Imag #20  ,L1 Weight Real #21  ,L1 Weight Imag #21  ,L1 Weight Real #22  ,L1 Weight Imag #22  ,L1 Weight Real #23  ,L1 Weight Imag #23  ,L1 Weight Real #24  ,L1 Weight Imag #24  ,L1 Weight Real #25  ,L1 Weight Imag #25  ,L1 Weight Real #26  ,L1 Weight Imag #26  ,L1 Weight Real #27  ,L1 Weight Imag #27  ,L1 Weight Real #28  ,L1 Weight Imag #28  ,L1 Weight Real #29  ,L1 Weight Imag #29  ,L1 Weight Real #30  ,L1 Weight Imag #30  ,L1 Weight Real #31  ,L1 Weight Imag #31  ,L1 Weight Real #32  ,L1 Weight Imag #32  ,L1 Weight Real #33  ,L1 Weight Imag #33  ,L1 Weight Real #34  ,L1 Weight Imag #34  ,L1 Weight Real #35  ,L1 Weight Imag #35  ,L2 Beam and Null Weights ID (weights),L2 Weight Real #1  ,L2 Weight Imag #1  ,L2 Weight Real #2  ,L2 Weight Imag #2  ,L2 Weight Real #3  ,L2 Weight Imag #3  ,L2 Weight Real #4  ,L2 Weight Imag #4  ,L2 Weight Real #5  ,L2 Weight Imag #5  ,L2 Weight Real #6  ,L2 Weight Imag #6  ,L2 Weight Real #7  ,L2 Weight Imag #7  ,L2 Weight Real #8  ,L2 Weight Imag #8  ,L2 Weight Real #9  ,L2 Weight Imag #9  ,L2 Weight Real #10  ,L2 Weight Imag #10  ,L2 Weight Real #11  ,L2 Weight Imag #11  ,L2 Weight Real #12  ,L2 Weight Imag #12  ,L2 Weight Real #13  ,L2 Weight Imag #13  ,L2 Weight Real #14  ,L2 Weight Imag #14  ,L2 Weight Real #15  ,L2 Weight Imag #15  ,L2 Weight Real #16  ,L2 Weight Imag #16  ,L2 Weight Real #17  ,L2 Weight Imag #17  ,L2 Weight Real #18  ,L2 Weight Imag #18  ,L2 Weight Real #19  ,L2 Weight Imag #19  ,L2 Weight Real #20  ,L2 Weight Imag #20  ,L2 Weight Real #21  ,L2 Weight Imag #21  ,L2 Weight Real #22  ,L2 Weight Imag #22  ,L2 Weight Real #23  ,L2 Weight Imag #23  ,L2 Weight Real #24  ,L2 Weight Imag #24  ,L2 Weight Real #25  ,L2 Weight Imag #25  ,L2 Weight Real #26  ,L2 Weight Imag #26  ,L2 Weight Real #27  ,L2 Weight Imag #27  ,L2 Weight Real #28  ,L2 Weight Imag #28  ,L2 Weight Real #29  ,L2 Weight Imag #29  ,L2 Weight Real #30  ,L2 Weight Imag #30  ,L2 Weight Real #31  ,L2 Weight Imag #31  ,L2 Weight Real #32  ,L2 Weight Imag #32  ,L2 Weight Real #33  ,L2 Weight Imag #33  ,L2 Weight Real #34  ,L2 Weight Imag #34  ,L2 Weight Real #35  ,L2 Weight Imag #35  ,Checksum ,
72,11,11,'0x81FF','0x3601','0x94','0x8000','0xC76C',    54465.1053307755,7,1,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'0x5397',
76,12,12,'0x81FF','0x3601','0x94','0x8000','0xC76C',    54466.1053307755,7,1,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'0x5297',
80,13,13,'0x81FF','0x3601','0x94','0x8000','0xC76C',    54467.1053307755,7,1,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'0x5197',
84,14,14,'0x81FF','0x3601','0x94','0x8000','0xC76C',    54468.1053307757,7,1,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'0x4F97',
88,15,15,'0x81FF','0x3601','0x94','0x8000','0xC76C',    54469.1053307769,7,1,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'0x4997',
93,16,16,'0x81FF','0x3601','0x94','0x8000','0xC76C',    54470.1053307776,7,1,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'0x4597',
97,17,17,'0x81FF','0x3601','0x94','0x8000','0xC76C',    54471.1053307783,7,1,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'0x4197',
101,18,18,'0x81FF','0x3601','0x94','0x8000','0xC76C',    54472.1053307788,7,1,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'0x3E97',
105,19,19,'0x81FF','0x3601','0x94','0x8000','0xC76C',    54473.1053307792,7,1,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'0x3B97',
109,20,20,'0x81FF','0x3601','0x94','0x8000','0xC76C',    54474.1053307795,7,1,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'0x3997',
113,21,21,'0x81FF','0x3601','0x94','0x8000','0xC76C',    54475.1053307797,7,1,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'0x3797',
118,22,22,'0x81FF','0x3601','0x94','0x8000','0xC76C',    54476.1053307797,7,1,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'0x3697',
122,23,23,'0x81FF','0x3601','0x94','0x8000','0xC76C',    54477.1043307798,7,1,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'0xAE20',
